test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
Atf6	Atf6	Atf6	chr1:170704456-170867771	SQ	IV	OK	6.36284	2.37557	-1.4214	-3.02737	5.00E-05	0.00109214	yes
Atic	Atic	Atic	chr1:71557155-71579403	SQ	IV	OK	11.1723	4.69764	-1.24992	-2.39045	5.00E-05	0.00109214	yes
Atp10a	Atp10a	Atp10a	chr7:58658201-58829426	SQ	IV	OK	20.6118	8.52353	-1.27395	-3.40108	5.00E-05	0.00109214	yes
Atp10d	Atp10d	Atp10d	chr5:72203328-72298771	SQ	IV	OK	4.6868	9.36811	0.999154	2.39284	5.00E-05	0.00109214	yes
Atp13a3	Atp13a3	Atp13a3	chr16:30312423-30388530	SQ	IV	OK	12.7107	6.27658	-1.018	-2.69084	5.00E-05	0.00109214	yes
Atp2a2	Atp2a2	Atp2a2	chr5:122453512-122502225	SQ	IV	OK	49.9412	30.2438	-0.72359	-2.17923	5.00E-05	0.00109214	yes
Atp8b4	Atp8b4	Atp8b4	chr2:126320972-126499847	SQ	IV	OK	52.4084	20.6436	-1.3441	-4.07577	5.00E-05	0.00109214	yes
Aurkb	Aurkb	Aurkb	chr11:69045636-69051664	SQ	IV	OK	162.361	97.6677	-0.733249	-2.26264	5.00E-05	0.00109214	yes
Baz1b	Baz1b	Baz1b	chr5:135187322-135246129	SQ	IV	OK	27.5675	16.438	-0.745928	-2.21859	5.00E-05	0.00109214	yes
Bcat1	Bcat1	Bcat1	chr6:144993834-145076157	SQ	IV	OK	10.7165	5.42856	-0.981189	-2.45861	5.00E-05	0.00109214	yes
Bcl2	Bcl2	Bcl2	chr1:106538175-106714290	SQ	IV	OK	8.84508	23.8023	1.42816	2.78218	5.00E-05	0.00109214	yes
Bhlhe40	Bhlhe40	Bhlhe40	chr6:108577035-108666925	SQ	IV	OK	22.6198	5.47624	-2.04633	-4.16748	5.00E-05	0.00109214	yes
Bloc1s1	Bloc1s1	Bloc1s1	chr10:128919913-128923524	SQ	IV	OK	76.5081	152.487	0.995002	2.37081	5.00E-05	0.00109214	yes
Bst2	Bst2	Bst2	chr8:71534255-71537472	SQ	IV	OK	77.704	34.3212	-1.17889	-2.64067	5.00E-05	0.00109214	yes
Btg1	Btg1	Btg1	chr10:96617000-96622811	SQ	IV	OK	32.6878	86.1827	1.39864	4.21205	5.00E-05	0.00109214	yes
Bub1b	Bub1b	Bub1b	chr2:118598210-118641592	SQ	IV	OK	81.7378	46.403	-0.816784	-2.51955	5.00E-05	0.00109214	yes
Cables1	Cables1	Cables1	chr18:11821087-11945627	SQ	IV	OK	10.2161	1.2175	-3.06885	-3.97366	5.00E-05	0.00109214	yes
Cad	Cad	Cad	chr5:31054779-31078479	SQ	IV	OK	20.4766	11.2167	-0.868327	-2.46179	5.00E-05	0.00109214	yes
Calcoco1	Calcoco1	Calcoco1	chr15:102706776-102722178	SQ	IV	OK	10.0267	23.6854	1.24015	2.94541	5.00E-05	0.00109214	yes
Car2	Car2	Car2	chr3:14886268-14900770	SQ	IV	OK	1.47477	18.954	3.68393	3.99369	5.00E-05	0.00109214	yes
Car5b	Car5b	Car5b	chrX:163976821-164028010	SQ	IV	OK	6.76863	1.88275	-1.84603	-2.95639	5.00E-05	0.00109214	yes
Carhsp1	Carhsp1	Carhsp1	chr16:8658586-8672153	SQ	IV	OK	33.7799	12.7359	-1.40727	-3.53602	5.00E-05	0.00109214	yes
Casp3	Casp3	Casp3	chr8:46617290-46639698	SQ	IV	OK	55.277	31.6268	-0.805533	-2.30092	5.00E-05	0.00109214	yes
Cbx5	Cbx5	Cbx5	chr15:103191545-103239852	SQ	IV	OK	16.7363	8.10237	-1.04656	-2.97131	5.00E-05	0.00109214	yes
Ccdc28a	Ccdc28a	Ccdc28a	chr10:18213675-18234981	SQ	IV	OK	8.48681	25.8979	1.60954	2.77503	5.00E-05	0.00109214	yes
Ccl4	Ccl4	Ccl4	chr11:83662583-83664683	SQ	IV	OK	62.8413	21.558	-1.54349	-2.8264	5.00E-05	0.00109214	yes
Ccna2	Ccna2	Ccna2	chr3:36552605-36573038	SQ	IV	OK	204.079	97.6825	-1.06295	-3.00094	5.00E-05	0.00109214	yes
Ccnb1	Ccnb1	Ccnb1	chr13:100778738-100786486	SQ	IV	OK	113.312	69.6198	-0.702737	-2.145	5.00E-05	0.00109214	yes
Ccnd3	Ccnd3	Ccnd3	chr17:47505050-47611492	SQ	IV	OK	353.045	214.417	-0.719435	-2.11663	5.00E-05	0.00109214	yes
Ccne1	Ccne1	Ccne1	chr7:38097983-38107490	SQ	IV	OK	151.267	92.4541	-0.710289	-2.19197	5.00E-05	0.00109214	yes
Ccnf	Ccnf	Ccnf	chr17:24223231-24251409	SQ	IV	OK	113.463	59.0031	-0.943364	-2.90433	5.00E-05	0.00109214	yes
Ccr10	Ccr10	Ccr10	chr11:101172997-101175443	SQ	IV	OK	7.12292	0	NA	NA	5.00E-05	0.00109214	yes
Ccr2	Ccr2	Ccr2	chr9:124102182-124109140	SQ	IV	OK	5.80467	0.734618	-2.98215	-3.63385	5.00E-05	0.00109214	yes
Ccr5	Ccr5	Ccr5	chr9:124121542-124127183	SQ	IV	OK	7.56413	1.1641	-2.69996	-3.3363	5.00E-05	0.00109214	yes
Ccr7	Ccr7	Ccr7	chr11:99144198-99155077	SQ	IV	OK	290.742	474.468	0.706574	2.2685	5.00E-05	0.00109214	yes
Ccr9	Ccr9	Ccr9	chr9:123767210-123783457	SQ	IV	OK	0.669485	3.65114	2.44722	2.96438	5.00E-05	0.00109214	yes
Cd160	Cd160	Cd160	chr3:96798762-96829351	SQ	IV	OK	110.112	64.7061	-0.767001	-2.37462	5.00E-05	0.00109214	yes
Cd163l1	Cd163l1	Cd163l1	chr7:140218266-140231145	SQ	IV	OK	5.39376	1.01504	-2.40976	-3.18026	5.00E-05	0.00109214	yes
Cd22	Cd22	Cd22	chr7:30865403-30880342	SQ	IV	OK	32.9303	4.94913	-2.73417	-6.31542	5.00E-05	0.00109214	yes
Cd37	Cd37	Cd37	chr7:45233631-45239115	SQ	IV	OK	130.574	299.192	1.19621	3.58506	5.00E-05	0.00109214	yes
Cd38	Cd38	Cd38	chr5:43868808-43912374	SQ	IV	OK	3.8062	14.6938	1.94879	3.79345	5.00E-05	0.00109214	yes
Cd3d	Cd3d	Cd3d	chr9:44981785-44987052	SQ	IV	OK	416.731	687.974	0.723237	2.31763	5.00E-05	0.00109214	yes
Cd3e	Cd3e	Cd3e	chr9:44998742-45009611	SQ	IV	OK	388.238	628.948	0.695999	2.2241	5.00E-05	0.00109214	yes
Cd3g	Cd3g	Cd3g	chr9:44969571-44980431	SQ	IV	OK	583.092	949.493	0.703434	2.25145	5.00E-05	0.00109214	yes
Cd52	Cd52	Cd52	chr4:134093537-134095073	SQ	IV	OK	2468.96	4678.18	0.922043	2.90595	5.00E-05	0.00109214	yes
Cd55	Cd55	Cd55	chr1:130439025-130462744	SQ	IV	OK	11.6755	26.2562	1.16917	2.8109	5.00E-05	0.00109214	yes
Cd6	Cd6	Cd6	chr19:10789338-10830058	SQ	IV	OK	149.33	252.199	0.756053	2.40166	5.00E-05	0.00109214	yes
Cd7	Cd7	Cd7	chr11:121036748-121039478	SQ	IV	OK	443.832	162.871	-1.44628	-4.34574	5.00E-05	0.00109214	yes
Cd72	Cd72	Cd72	chr4:43442276-43454626	SQ	IV	OK	31.848	132.8	2.05998	4.0145	5.00E-05	0.00109214	yes
Cd74	Cd74	Cd74	chr18:60803848-60812652	SQ	IV	OK	65.1726	27.0044	-1.27107	-3.09633	5.00E-05	0.00109214	yes
Cd79b	Cd79b	Cd79b	chr11:106311340-106314562	SQ	IV	OK	53.6698	145.217	1.43603	3.97783	5.00E-05	0.00109214	yes
Cd83	Cd83	Cd83	chr13:43785111-43803133	SQ	IV	OK	87.098	166.828	0.937647	2.88726	5.00E-05	0.00109214	yes
Cd86	Cd86	Cd86	chr16:36603868-36666077	SQ	IV	OK	11.8085	24.5908	1.05829	2.5125	5.00E-05	0.00109214	yes
Cd96	Cd96	Cd96	chr16:46035656-46120248	SQ	IV	OK	46.9147	142.54	1.60325	4.70302	5.00E-05	0.00109214	yes
Cdc25b	Cdc25b	Cdc25b	chr2:131186947-131198511	SQ	IV	OK	98.1724	51.7728	-0.923122	-2.77817	5.00E-05	0.00109214	yes
Cdc34	Cdc34	Cdc34	chr10:79682194-79688398	SQ	IV	OK	142.753	81.292	-0.812337	-2.36415	5.00E-05	0.00109214	yes
Cdc45	Cdc45	Cdc45	chr16:18780446-18811972	SQ	IV	OK	78.3013	43.754	-0.839621	-2.41053	5.00E-05	0.00109214	yes
Cdk1	Cdk1	Cdk1	chr10:69335145-69352912	SQ	IV	OK	48.8023	29.7369	-0.714696	-2.15255	5.00E-05	0.00109214	yes
Cdk6	Cdk6	Cdk6	chr5:3343892-3531005	SQ	IV	OK	4.43016	1.38637	-1.67605	-3.57712	5.00E-05	0.00109214	yes
Cercam	Cercam	Cercam	chr2:29869493-29882840	SQ	IV	OK	6.29901	1.35565	-2.21614	-2.89782	5.00E-05	0.00109214	yes
Cers4	Cers4	Cers4	chr8:4493404-4526079	SQ	IV	OK	10.5793	19.327	0.869377	2.22062	5.00E-05	0.00109214	yes
Chaf1a	Chaf1a	Chaf1a	chr17:56040415-56068026	SQ	IV	OK	47.0134	27.1176	-0.793843	-2.30486	5.00E-05	0.00109214	yes
Chaf1b	Chaf1b	Chaf1b	chr16:93883900-93906106	SQ	IV	OK	111.196	66.0428	-0.751635	-2.24855	5.00E-05	0.00109214	yes
Chek1	Chek1	Chek1	chr9:36708481-36726658	SQ	IV	OK	14.0148	7.27612	-0.945715	-2.14466	5.00E-05	0.00109214	yes
Chn2	Chn2	Chn2	chr6:54039931-54503768	SQ	IV	OK	9.37014	19.2982	1.04233	2.4827	5.00E-05	0.00109214	yes
Chst14	Chst14	Chst14	chr2:118926496-118928583	SQ	IV	OK	1.74381	6.72808	1.94795	2.48833	5.00E-05	0.00109214	yes
Chst2	Chst2	Chst2	chr9:95400925-95407270	SQ	IV	OK	16.3923	8.62427	-0.926542	-2.49634	5.00E-05	0.00109214	yes
Clic4	Clic4	Clic4	chr4:135213969-135272760	SQ	IV	OK	25.7573	7.82185	-1.7194	-4.32417	5.00E-05	0.00109214	yes
Cmpk2	Cmpk2	Cmpk2	chr12:26469214-26479837	SQ	IV	OK	29.9298	12.3836	-1.27316	-3.30434	5.00E-05	0.00109214	yes
Commd4	Commd4	Commd4	chr9:57155040-57158299	SQ	IV	OK	153.598	275.509	0.842938	2.47439	5.00E-05	0.00109214	yes
Coq8a	Coq8a	Coq8a	chr1:179960759-180196020	SQ	IV	OK	5.66122	13.3323	1.23574	2.42504	5.00E-05	0.00109214	yes
Coro1c	Coro1c	Coro1c	chr5:113842438-113908706	SQ	IV	OK	171.834	101.329	-0.761962	-2.42315	5.00E-05	0.00109214	yes
Cpm	Cpm	Cpm	chr10:117629499-117687352	SQ	IV	OK	3.94708	7.93923	1.00821	2.22101	5.00E-05	0.00109214	yes
Cse1l	Cse1l	Cse1l	chr2:166906095-166946389	SQ	IV	OK	70.3652	35.0356	-1.00604	-2.99087	5.00E-05	0.00109214	yes
Ctso	Ctso	Ctso	chr3:81932600-81956725	SQ	IV	OK	14.5619	26.8909	0.884917	2.35289	5.00E-05	0.00109214	yes
Ctss	Ctss	Ctss	chr3:95526785-95556405	SQ	IV	OK	102.535	188.788	0.880651	2.67509	5.00E-05	0.00109214	yes
Ctxn3	Ctxn3	Ctxn3	chr18:57468485-57478134	SQ	IV	OK	0	0.86774	inf	NA	5.00E-05	0.00109214	yes
Cyp51	Cyp51	Cyp51	chr5:4080673-4104697	SQ	IV	OK	42.9714	21.7711	-0.980964	-2.86762	5.00E-05	0.00109214	yes
Cyth3	Cyth3	Cyth3	chr5:143622446-143710248	SQ	IV	OK	10.3127	23.1267	1.16513	2.99294	5.00E-05	0.00109214	yes
D17H6S56E-5	D17H6S56E-5	D17H6S56E-5	chr17:34996723-35000746	SQ	IV	OK	383.502	148.984	-1.36408	-4.2778	5.00E-05	0.00109214	yes
Dapl1	Dapl1	Dapl1	chr2:59484652-59505020	SQ	IV	OK	354.799	706.908	0.99452	3.01805	5.00E-05	0.00109214	yes
Dck	Dck	Dck	chr5:88765012-88783277	SQ	IV	OK	87.2948	49.0912	-0.830429	-2.53864	5.00E-05	0.00109214	yes
Decr2	Decr2	Decr2	chr17:26081210-26090164	SQ	IV	OK	9.91065	21.3071	1.10428	2.41174	5.00E-05	0.00109214	yes
Dennd1c	Dennd1c	Dennd1c	chr17:57066054-57078510	SQ	IV	OK	52.1436	105.071	1.0108	3.02971	5.00E-05	0.00109214	yes
Dennd5a	Dennd5a	Dennd5a	chr7:109893780-109960470	SQ	IV	OK	5.0292	1.52303	-1.72339	-2.93353	5.00E-05	0.00109214	yes
Desi2	Desi2	Desi2	chr1:178187416-178252597	SQ	IV	OK	30.0865	14.1521	-1.08811	-3.01677	5.00E-05	0.00109214	yes
Dhcr24	Dhcr24	Dhcr24	chr4:106561037-106589113	SQ	IV	OK	8.34068	2.70888	-1.62247	-3.03498	5.00E-05	0.00109214	yes
Dhrs7	Dhrs7	Dhrs7	chr12:72650352-72664828	SQ	IV	OK	46.2453	94.8404	1.0362	2.81943	5.00E-05	0.00109214	yes
Dhx58	Dhx58	Dhx58	chr11:100694883-100704271	SQ	IV	OK	26.3933	11.0559	-1.25536	-2.91711	5.00E-05	0.00109214	yes
Dna2	Dna2	Dna2	chr10:62947028-62974188	SQ	IV	OK	14.446	4.46853	-1.6928	-3.71679	5.00E-05	0.00109214	yes
Dpy19l1	Dpy19l1	Dpy19l1	chr9:24411778-24503140	SQ	IV	OK	37.9695	19.1553	-0.987097	-2.76148	5.00E-05	0.00109214	yes
Dtl	Dtl	Dtl	chr1:191537355-191575544	SQ	IV	OK	42.8494	23.1878	-0.88591	-2.5981	5.00E-05	0.00109214	yes
Dusp10	Dusp10	Dusp10	chr1:184034380-184075636	SQ	IV	OK	13.1379	30.5755	1.21864	3.0659	5.00E-05	0.00109214	yes
E2f2	E2f2	E2f2	chr4:136172273-136196056	SQ	IV	OK	26.3042	14.4523	-0.863991	-2.33958	5.00E-05	0.00109214	yes
E2f8	E2f8	E2f8	chr7:48866428-48886608	SQ	IV	OK	28.8261	14.0396	-1.03788	-2.71904	5.00E-05	0.00109214	yes
Ecm1	Ecm1	Ecm1	chr3:95734146-95739569	SQ	IV	OK	3.91109	15.6111	1.99693	3.25976	5.00E-05	0.00109214	yes
Ect2	Ect2	Ect2	chr3:27097221-27153878	SQ	IV	OK	31.7447	18.019	-0.816997	-2.29574	5.00E-05	0.00109214	yes
Egln1	Egln1	Egln1	chr8:124908586-124949254	SQ	IV	OK	26.2066	14.3334	-0.870551	-2.31841	5.00E-05	0.00109214	yes
Ehd4	Ehd4	Ehd4	chr2:120089486-120154575	SQ	IV	OK	35.0637	19.6217	-0.837529	-2.33973	5.00E-05	0.00109214	yes
Eif1a	Eif1a	Eif1a	chr18:46597703-46610225	SQ	IV	OK	57.8639	28.7706	-1.00807	-2.83627	5.00E-05	0.00109214	yes
Eif4e	Eif4e	Eif4e	chr3:138526190-138559696	SQ	IV	OK	44.4988	27.285	-0.705657	-2.09265	5.00E-05	0.00109214	yes
Eif4g1	Eif4g1	Eif4g1	chr16:20672726-20692883	SQ	IV	OK	61.4345	34.8349	-0.818518	-2.52966	5.00E-05	0.00109214	yes
Elk3	Elk3	Elk3	chr10:93247415-93311159	SQ	IV	OK	16.2116	29.1276	0.845362	2.39347	5.00E-05	0.00109214	yes
Ephx1	Ephx1	Ephx1	chr1:180989555-181017569	SQ	IV	OK	37.8705	127.974	1.75671	4.90453	5.00E-05	0.00109214	yes
Ercc6l	Ercc6l	Ercc6l	chrX:102142819-102157091	SQ	IV	OK	22.3435	10.5522	-1.08231	-2.75925	5.00E-05	0.00109214	yes
Espl1	Espl1	Espl1	chr15:102296292-102324356	SQ	IV	OK	17.1274	9.62824	-0.830963	-2.28538	5.00E-05	0.00109214	yes
Eya2	Eya2	Eya2	chr2:165595027-165771727	SQ	IV	OK	9.61421	20.1754	1.06936	2.38655	5.00E-05	0.00109214	yes
Faap20	Faap20	Faap20	chr4:155249965-155256687	SQ	IV	OK	81.1678	138.757	0.773576	2.15806	5.00E-05	0.00109214	yes
Fads1	Fads1	Fads1	chr19:10182887-10196872	SQ	IV	OK	18.0294	7.83713	-1.20196	-2.75829	5.00E-05	0.00109214	yes
Fam214a	Fam214a	Fam214a	chr9:74952879-75032468	SQ	IV	OK	5.19306	11.4516	1.1409	2.55563	5.00E-05	0.00109214	yes
Fam32a	Fam32a	Fam32a	chr8:72219744-72225034	SQ	IV	OK	74.697	118.865	0.670198	2.11068	5.00E-05	0.00109214	yes
Fancm	Fancm	Fancm	chr12:65075602-65131842	SQ	IV	OK	4.59642	2.21782	-1.05137	-2.21224	5.00E-05	0.00109214	yes
Fasn	Fasn	Fasn	chr11:120805957-120824547	SQ	IV	OK	21.569	7.42789	-1.53794	-4.46404	5.00E-05	0.00109214	yes
Fbxo32	Fbxo32	Fbxo32	chr15:58175878-58214892	SQ	IV	OK	2.08702	4.77377	1.19368	2.43274	5.00E-05	0.00109214	yes
Fbxo45	Fbxo45	Fbxo45	chr16:32230111-32247025	SQ	IV	OK	17.5419	9.06308	-0.95273	-2.4092	5.00E-05	0.00109214	yes
Fcrl1	Fcrl1	Fcrl1	chr3:87376386-87402934	SQ	IV	OK	1.98814	20.8492	3.3905	4.82232	5.00E-05	0.00109214	yes
Fdps	Fdps	Fdps	chr3:89093587-89101967	SQ	IV	OK	81.8213	40.866	-1.00157	-2.64521	5.00E-05	0.00109214	yes
Fgl2	Fgl2	Fgl2	chr5:21292960-21424677	SQ	IV	OK	14.4	4.14997	-1.7949	-3.79367	5.00E-05	0.00109214	yes
Fgr	Fgr	Fgr	chr4:132974094-133001882	SQ	IV	OK	9.84556	19.0703	0.95378	2.30763	5.00E-05	0.00109214	yes
Fkbp5	Fkbp5	Fkbp5	chr17:28398752-28486149	SQ	IV	OK	85.0547	44.4577	-0.93596	-2.88989	5.00E-05	0.00109214	yes
Flnb	Flnb	Flnb	chr14:7817956-7951587	SQ	IV	OK	5.89651	2.61981	-1.1704	-2.70493	5.00E-05	0.00109214	yes
Fmnl3	Fmnl3	Fmnl3	chr15:99317211-99370482	SQ	IV	OK	2.23612	7.09215	1.66523	2.9692	5.00E-05	0.00109214	yes
Foxk2	Foxk2	Foxk2	chr11:121259986-121309900	SQ	IV	OK	18.9404	10.2215	-0.88986	-2.40778	5.00E-05	0.00109214	yes
Foxm1	Foxm1	Foxm1	chr6:128362993-128385144	SQ	IV	OK	31.8089	19.1613	-0.731232	-2.08262	5.00E-05	0.00109214	yes
Foxo1	Foxo1	Foxo1	chr3:52268336-52350109	SQ	IV	OK	35.4217	65.7311	0.89194	2.77336	5.00E-05	0.00109214	yes
Fut7	Fut7	Fut7	chr2:25423241-25426373	SQ	IV	OK	56.0941	12.191	-2.20203	-5.0669	5.00E-05	0.00109214	yes
Fyb	Fyb	Fyb	chr15:6579846-6665608	SQ	IV	OK	40.5982	66.089	0.702994	2.06576	5.00E-05	0.00109214	yes
Gabarap	Gabarap	Gabarap	chr11:69991369-69994949	SQ	IV	OK	83.5979	138.353	0.726815	2.09396	5.00E-05	0.00109214	yes
Galm	Galm	Galm	chr17:80127470-80185032	SQ	IV	OK	5.72437	18.7122	1.70879	3.40209	5.00E-05	0.00109214	yes
Galr2	Galr2	Galr2	chr11:116280938-116283938	SQ	IV	OK	0	0.811075	inf	NA	5.00E-05	0.00109214	yes
Gapdh	Gapdh	Gapdh	chr6:125161851-125166467	SQ	IV	OK	164.44	99.2551	-0.728352	-2.20749	5.00E-05	0.00109214	yes
Gbp8	Gbp8	Gbp8	chr5:105014152-105053561	SQ	IV	OK	27.0114	49.1353	0.863193	2.36032	5.00E-05	0.00109214	yes
Gcnt1	Gcnt1	Gcnt1	chr19:17326140-17372844	SQ	IV	OK	7.63253	1.02946	-2.89028	-4.28136	5.00E-05	0.00109214	yes
Gdi1	Gdi1	Gdi1	chrX:74305011-74311867	SQ	IV	OK	64.0806	118.843	0.891097	2.74003	5.00E-05	0.00109214	yes
Gemin4	Gemin4	Gemin4	chr11:76210570-76217572	SQ	IV	OK	37.002	20.8203	-0.829612	-2.28659	5.00E-05	0.00109214	yes
Gfi1	Gfi1	Gfi1	chr5:107716654-107725805	SQ	IV	OK	5.14472	26.3641	2.35741	4.86016	5.00E-05	0.00109214	yes
Gimap3	Gimap3	Gimap3	chr6:48764463-48770851	SQ	IV	OK	314.137	687.105	1.12914	3.54704	5.00E-05	0.00109214	yes
Gimap4	Gimap4	Gimap4	chr6:48684577-48692062	SQ	IV	OK	484.578	879.842	0.860516	2.70269	5.00E-05	0.00109214	yes
Gimap5	Gimap5	Gimap5	chr6:48746196-48754200	SQ	IV	OK	106.776	189.876	0.830468	2.59414	5.00E-05	0.00109214	yes
Gimap6	Gimap6	Gimap6	chr6:48701582-48708244	SQ	IV	OK	415.561	955.113	1.20061	3.75319	5.00E-05	0.00109214	yes
Gimap7	Gimap7	Gimap7	chr6:48718620-48724636	SQ	IV	OK	95.6528	257.763	1.43017	4.27012	5.00E-05	0.00109214	yes
Gimap9	Gimap9	Gimap9	chr6:48676134-48678704	SQ	IV	OK	64.3228	107.481	0.740683	2.12197	5.00E-05	0.00109214	yes
Glmp	Glmp	Glmp	chr3:88325022-88328631	SQ	IV	OK	106.564	190.504	0.838097	2.57649	5.00E-05	0.00109214	yes
Gm14317	Gm14317	Gm14317	chr2:164550529-164559730	SQ	IV	OK	0	0.850613	inf	NA	5.00E-05	0.00109214	yes
Gm4737	Gm4737	Gm4737	chr16:46152990-46155077	SQ	IV	OK	47.7886	23.2928	-1.03678	-2.73065	5.00E-05	0.00109214	yes
Gm4759	Gm4759	Gm4759	chr7:106421549-106441073	SQ	IV	OK	19.6405	39.8344	1.02018	2.80096	5.00E-05	0.00109214	yes
